iter	Passed	Remaining
0	78	78087
1	80	40166
2	82	27440
3	84	21031
4	86	17210
5	88	14634
6	90	12802
7	92	11420
8	93	10334
9	95	9478
10	97	8776
11	99	8203
12	101	7709
13	103	7261
14	104	6883
15	106	6555
16	108	6287
17	110	6048
18	112	5821
19	114	5624
20	116	5437
21	118	5271
22	120	5113
23	122	4972
24	124	4847
25	126	4724
26	128	4618
27	130	4517
28	132	4421
29	134	4333
30	135	4246
31	137	4166
32	139	4089
33	141	4018
34	143	3953
35	145	3893
36	147	3839
37	149	3781
38	151	3727
39	153	3673
40	154	3623
41	156	3579
42	158	3532
43	160	3491
44	162	3450
45	164	3411
46	166	3375
47	168	3341
48	170	3307
49	172	3268
50	173	3224
51	174	3180
52	175	3138
53	176	3097
54	178	3061
55	179	3020
56	180	2978
57	180	2938
58	181	2900
59	182	2861
60	183	2824
61	184	2789
62	185	2755
63	186	2721
64	186	2687
65	187	2652
66	188	2619
67	188	2582
68	189	2552
69	189	2521
70	190	2491
71	191	2462
72	191	2433
73	192	2406
74	192	2380
75	193	2353
76	194	2327
77	194	2301
78	195	2276
79	195	2251
80	196	2227
81	196	2204
82	197	2181
83	198	2159
84	198	2134
85	198	2113
86	199	2090
87	199	2070
88	200	2050
89	200	2030
90	201	2011
91	201	1992
92	202	1973
93	202	1955
94	203	1937
95	203	1919
96	204	1901
97	204	1884
98	205	1867
99	205	1851
100	206	1835
101	206	1817
102	206	1801
103	207	1786
104	207	1770
105	208	1756
106	208	1741
107	209	1727
108	209	1713
109	210	1699
110	210	1685
111	210	1672
112	211	1658
113	211	1645
114	212	1633
115	212	1620
116	213	1608
117	213	1595
118	213	1583
119	214	1571
120	214	1560
121	215	1548
122	215	1535
123	215	1524
124	216	1514
125	216	1503
126	217	1492
127	217	1481
128	218	1472
129	218	1463
130	219	1453
131	219	1443
132	219	1433
133	220	1423
134	220	1414
135	221	1405
136	221	1396
137	222	1386
138	222	1377
139	222	1369
140	223	1360
141	223	1352
142	224	1343
143	224	1335
144	225	1328
145	225	1320
146	226	1312
147	226	1304
148	227	1296
149	227	1289
150	227	1281
151	228	1274
152	228	1266
153	229	1259
154	229	1252
155	230	1245
156	230	1238
157	231	1231
158	231	1224
159	232	1218
160	232	1211
161	232	1204
162	233	1198
163	233	1191
164	234	1185
165	234	1178
166	235	1172
167	235	1166
168	236	1160
169	236	1154
170	236	1148
171	237	1142
172	237	1136
173	238	1130
174	238	1125
175	239	1119
176	239	1113
177	240	1108
178	240	1102
179	240	1097
180	241	1090
181	241	1085
182	241	1080
183	242	1075
184	242	1069
185	243	1064
186	243	1059
187	244	1054
188	244	1049
189	245	1044
190	245	1039
191	245	1035
192	246	1030
193	246	1025
194	247	1021
195	247	1016
196	248	1011
197	248	1007
198	249	1002
199	249	998
200	250	993
201	250	989
202	250	985
203	251	980
204	251	976
205	252	972
206	252	968
207	253	964
208	253	960
209	254	956
210	254	952
211	255	948
212	255	943
213	255	939
214	256	935
215	256	932
216	257	928
217	257	924
218	258	920
219	258	917
220	259	913
221	259	909
222	260	906
223	260	902
224	260	898
225	261	895
226	261	891
227	262	888
228	262	884
229	263	881
230	263	877
231	264	874
232	264	871
233	265	867
234	265	864
235	265	860
236	266	857
237	266	854
238	267	851
239	267	847
240	268	844
241	268	841
242	269	838
243	269	835
244	270	832
245	270	829
246	271	826
247	271	822
248	271	819
249	272	816
250	272	813
251	273	811
252	273	808
253	274	805
254	274	802
255	275	799
256	275	796
257	275	793
258	276	790
259	276	787
260	277	785
261	277	782
262	278	779
263	278	776
264	279	773
265	279	771
266	279	768
267	280	765
268	280	763
269	281	760
270	281	757
271	282	755
272	282	752
273	283	750
274	283	747
275	284	745
276	284	742
277	284	739
278	285	737
279	285	735
280	286	732
281	286	730
282	287	727
283	287	725
284	288	722
285	288	720
286	288	717
287	289	715
288	289	713
289	290	710
290	290	708
291	291	706
292	291	703
293	292	701
294	292	699
295	293	697
296	293	694
297	293	692
298	294	690
299	294	687
300	295	685
301	295	683
302	296	681
303	296	679
304	297	676
305	297	674
306	297	672
307	298	670
308	298	668
309	299	666
310	299	664
311	300	661
312	300	659
313	301	657
314	301	655
315	301	653
316	302	651
317	302	649
318	303	647
319	303	645
320	304	643
321	304	641
322	305	639
323	305	637
324	306	635
325	306	633
326	306	631
327	307	629
328	307	627
329	308	625
330	308	623
331	309	621
332	309	619
333	309	618
334	310	616
335	310	614
336	311	612
337	311	610
338	312	608
339	312	606
340	313	605
341	313	603
342	313	601
343	314	599
344	314	597
345	315	595
346	315	594
347	316	592
348	316	590
349	317	588
350	317	586
351	317	585
352	318	583
353	318	581
354	319	579
355	319	578
356	320	576
357	320	574
358	321	573
359	321	571
360	322	570
361	322	568
362	322	566
363	323	564
364	323	563
365	324	561
366	324	560
367	325	558
368	325	556
369	326	555
370	326	553
371	327	552
372	327	550
373	327	548
374	328	547
375	328	545
376	329	544
377	329	542
378	330	541
379	330	539
380	331	537
381	331	536
382	331	534
383	332	533
384	332	531
385	333	530
386	333	528
387	334	527
388	334	525
389	335	524
390	335	522
391	336	521
392	336	519
393	336	518
394	337	516
395	337	515
396	338	513
397	338	512
398	339	510
399	339	509
400	340	508
401	340	506
402	341	505
403	341	503
404	342	502
405	342	501
406	342	499
407	343	498
408	343	496
409	344	495
410	344	494
411	345	492
412	345	491
413	346	489
414	346	488
415	347	487
416	347	485
417	347	484
418	348	483
419	348	481
420	349	480
421	349	479
422	350	477
423	350	476
424	351	475
425	351	473
426	352	472
427	352	471
428	353	470
429	353	468
430	354	467
431	354	466
432	355	464
433	355	463
434	356	462
435	356	461
436	357	459
437	357	458
438	358	457
439	358	456
440	359	455
441	359	453
442	360	452
443	360	451
444	360	450
445	361	448
446	361	447
447	362	446
448	362	445
449	363	443
450	363	442
451	364	441
452	364	440
453	365	439
454	365	438
455	366	436
456	366	435
457	366	434
458	367	433
459	367	431
460	368	430
461	368	429
462	369	428
463	369	427
464	370	426
465	370	424
466	371	423
467	371	422
468	372	421
469	372	420
470	373	419
471	373	417
472	374	416
473	374	415
474	374	414
475	375	413
476	375	412
477	376	410
478	376	409
479	377	408
480	377	407
481	378	406
482	378	405
483	378	404
484	379	402
485	379	401
486	380	400
487	380	399
488	381	398
489	381	397
490	382	396
491	382	395
492	383	394
493	383	392
494	384	391
495	384	390
496	384	389
497	385	388
498	385	387
499	386	386
500	386	385
501	387	384
502	387	383
503	388	381
504	388	380
505	389	379
506	389	378
507	390	377
508	390	376
509	390	375
510	391	374
511	391	373
512	392	372
513	392	371
514	393	370
515	393	369
516	394	368
517	394	367
518	395	366
519	395	365
520	396	364
521	396	363
522	397	362
523	397	361
524	398	360
525	398	359
526	398	357
527	399	356
