iter	Passed	Remaining
0	50	50157
1	52	26135
2	54	18066
3	56	14091
4	58	11656
5	60	10015
6	62	8856
7	64	7985
8	66	7314
9	68	6778
10	70	6358
11	72	5967
12	73	5604
13	74	5276
14	76	4991
15	77	4744
16	77	4509
17	78	4306
18	79	4116
19	80	3950
20	81	3798
21	82	3657
22	83	3533
23	83	3410
24	84	3294
25	85	3190
26	85	3094
27	86	3002
28	87	2920
29	87	2843
30	88	2771
31	89	2702
32	90	2638
33	90	2577
34	91	2519
35	92	2466
36	92	2415
37	93	2372
38	94	2326
39	95	2282
40	95	2240
41	96	2200
42	97	2160
43	97	2121
44	98	2083
45	98	2047
46	99	2012
47	99	1977
48	100	1944
49	100	1917
50	101	1887
51	102	1860
52	102	1832
53	103	1806
54	103	1781
55	104	1755
56	104	1730
57	105	1706
58	105	1683
59	106	1661
60	106	1640
61	107	1619
62	107	1598
63	107	1578
64	108	1559
65	108	1541
66	109	1523
67	109	1505
68	110	1487
69	110	1471
70	111	1455
71	111	1439
72	112	1424
73	112	1409
74	113	1394
75	113	1380
76	113	1366
77	114	1352
78	114	1339
79	115	1327
80	115	1314
81	116	1303
82	116	1288
83	117	1277
84	117	1265
85	118	1254
86	118	1243
87	118	1233
88	119	1222
89	120	1213
90	120	1204
91	121	1194
92	121	1185
93	122	1176
94	122	1166
95	122	1157
96	123	1148
97	123	1139
98	124	1130
99	124	1122
100	125	1113
101	125	1105
102	126	1098
103	126	1090
104	127	1083
105	127	1075
106	128	1068
107	128	1061
108	129	1054
109	129	1047
110	129	1040
111	130	1034
112	130	1027
113	131	1022
114	131	1015
115	132	1009
116	132	1002
117	133	996
118	133	991
119	134	985
120	134	980
121	135	973
122	135	967
123	136	962
124	136	957
125	137	951
126	137	945
127	138	940
128	138	936
129	139	931
130	139	926
131	140	921
132	140	916
133	141	911
134	141	906
135	141	902
136	142	897
137	142	892
138	143	888
139	143	884
140	144	879
141	144	874
142	145	869
143	145	865
144	146	862
145	146	857
146	147	854
147	147	850
148	148	846
149	148	842
150	149	838
151	149	835
152	150	831
153	150	828
154	151	824
155	151	820
156	152	817
157	152	814
158	153	810
159	153	807
160	154	802
161	154	799
162	154	795
163	155	791
164	155	788
165	156	785
166	156	782
167	157	779
168	157	775
169	158	772
170	158	769
171	159	766
172	159	763
173	160	760
174	160	757
175	161	754
176	161	751
177	162	749
178	162	746
179	163	743
180	163	740
181	164	738
182	164	735
183	165	732
184	165	729
185	166	726
186	166	724
187	167	721
188	167	718
189	167	716
190	168	713
191	168	710
192	169	708
193	169	705
194	170	703
195	170	700
196	171	698
197	171	696
198	172	694
199	172	691
200	173	689
201	173	687
202	174	684
203	174	682
204	175	680
205	175	678
206	176	675
207	176	673
208	177	671
209	177	669
210	178	667
211	178	664
212	179	662
213	179	660
214	180	657
215	180	655
216	181	653
217	181	651
218	182	649
219	182	647
220	183	645
221	183	643
222	184	641
223	184	639
224	185	637
225	185	635
226	186	633
227	186	631
228	187	630
229	187	628
230	188	626
231	188	624
232	189	622
233	189	621
234	190	619
235	190	617
236	191	615
237	191	613
238	192	611
239	192	610
240	193	608
241	193	606
242	194	604
243	194	603
244	195	601
245	195	599
246	196	598
247	196	596
248	197	594
249	197	592
250	198	590
251	198	589
252	199	587
253	199	585
254	199	584
255	200	582
256	200	581
257	201	579
258	202	578
259	202	576
260	203	575
261	203	573
262	204	572
263	204	570
264	205	569
265	205	567
266	206	565
267	206	564
268	207	562
269	207	561
270	208	559
271	208	558
272	209	556
273	209	555
274	210	553
275	210	552
276	211	550
277	211	549
278	212	548
279	212	546
280	213	545
281	213	544
282	214	542
283	214	541
284	215	540
285	216	539
286	216	538
287	217	537
288	217	536
289	218	534
290	218	533
291	219	531
292	219	530
293	220	529
294	220	528
295	221	526
296	222	525
297	222	524
298	223	522
299	223	521
300	224	520
301	224	518
302	224	517
303	225	516
304	226	515
305	226	514
306	227	513
307	227	511
308	228	510
309	228	509
310	229	508
311	229	506
312	230	505
313	230	504
314	231	503
315	231	502
316	232	500
317	232	499
318	233	498
319	233	496
320	234	495
321	234	494
322	235	493
323	235	491
324	236	490
325	236	489
326	237	488
327	237	487
328	238	485
329	238	484
330	239	483
331	239	482
332	240	481
333	240	480
334	241	478
335	241	477
336	242	476
337	242	475
338	243	473
339	243	472
340	243	471
341	244	470
342	244	469
343	245	468
344	246	467
345	246	466
346	247	465
347	247	463
348	248	462
349	248	461
350	249	460
351	249	459
352	250	458
353	250	457
354	251	456
355	251	455
356	252	454
357	252	453
358	253	451
359	253	450
360	254	449
361	254	448
362	255	447
363	255	446
364	256	445
365	256	444
366	256	443
367	257	442
368	257	441
369	258	440
370	258	438
371	259	437
372	259	436
373	260	435
374	260	434
375	261	433
376	261	432
377	262	431
378	262	430
379	263	429
380	263	428
381	264	427
382	264	426
383	265	425
384	265	424
385	266	423
386	266	422
387	267	421
388	267	420
389	268	419
390	268	418
391	269	417
392	269	416
393	270	415
394	270	414
395	271	413
396	271	412
397	272	411
398	272	410
399	273	409
400	273	408
401	274	407
402	274	406
403	275	405
404	275	404
405	276	403
406	276	402
407	277	401
408	277	400
409	277	399
410	278	398
411	278	398
412	279	397
413	279	396
414	280	395
415	280	394
416	281	393
417	281	392
418	282	391
419	282	390
420	283	389
421	283	388
422	284	387
423	284	386
424	285	385
425	285	384
426	286	383
427	286	383
428	287	382
429	287	381
430	288	380
431	288	379
432	288	378
433	289	377
434	289	376
435	290	375
436	290	374
437	291	373
438	291	372
439	292	371
440	292	370
441	293	370
442	293	369
443	294	368
444	294	367
445	295	366
446	295	366
447	296	365
448	296	364
449	297	363
450	297	362
451	298	361
452	298	360
453	299	359
454	299	358
455	300	358
456	300	357
457	301	356
458	301	355
459	302	354
460	302	353
461	303	352
462	303	352
463	304	351
464	304	350
465	305	349
466	305	348
467	306	347
468	306	347
469	306	346
470	307	345
471	307	344
472	308	343
473	308	342
474	309	341
